Date,Home,Result,Away,red,yellow + red,yellow
10/04/1974,Celtic FC,0:0,AtlÃ©tico Madrid,3,0,8
20/09/2000,Sturm Graz,3:0,Galatasaray,2,0,8
16/09/1987,SL Benfica,4:0,FK Partizani,4,0,1
19/10/2010,AFC Ajax,2:1,AJ Auxerre,2,1,5
19/10/2004,Bayer Leverkusen,3:1,AS Roma,2,0,7
19/03/1996,Juventus,2:0,Real Madrid,2,0,7
15/09/1977,Dinamo BucureÅti,2:1,AtlÃ©tico Madrid,3,0,3
20/10/1993,AS Monaco,4:1,Steaua BucureÅti,2,0,6
11/04/2018,Real Madrid,1:3,Juventus,1,0,9
07/12/2004,Valencia CF,0:2,Werder Bremen,1,0,9
16/03/2016,Bayern MÃ¼nchen,4:2,Juventus,0,0,12
24/05/2014,Real Madrid,4:1,AtlÃ©tico Madrid,0,0,12
03/11/1976,Bor. MÃ¶nchengladbach,0:0,Torino FC,3,0,2
12/12/2018,AFC Ajax,3:3,Bayern MÃ¼nchen,2,0,5
10/12/2013,Viktoria PlzeÅ,2:1,CSKA Moskva,2,0,5
27/04/2011,Real Madrid,0:2,FC Barcelona,2,0,5
06/03/1985,IFK GÃ¶teborg,0:1,Panathinaikos,2,0,5
05/11/1975,Ãjpesti DÃ³zsa SC,3:1,SL Benfica,2,0,5
10/12/2013,Olympiakos PirÃ¤us,3:1,RSC Anderlecht,1,2,4
16/09/2003,Club Brugge KV,1:1,Celta Vigo,1,1,6
04/11/1997,IFK GÃ¶teborg,2:1,BeÅiktaÅ,1,1,6
10/12/2019,AFC Ajax,0:1,Valencia CF,1,0,8
07/11/2018,Valencia CF,3:1,BSC Young Boys,1,0,8
22/10/2014,PFC Ludogorets Razgrad,1:0,FC Basel,1,0,8
24/04/2012,FC Barcelona,2:2,Chelsea FC,1,0,8
16/03/2010,Chelsea FC,0:1,Inter,1,0,8
21/05/2008,Manchester United,6:5,Chelsea FC,1,0,8
26/11/2019,Galatasaray,1:1,Club Brugge KV,0,2,7
08/11/2000,Panathinaikos,3:1,Juventus,0,2,7
05/04/2016,FC Barcelona,2:1,AtlÃ©tico Madrid,0,1,9
05/03/2008,Real Madrid,1:2,AS Roma,0,1,9
19/10/2011,FC Porto,1:1,APOEL Nikosia,0,0,11
21/02/2007,AS Roma,0:0,Olympique Lyon,0,0,11
16/09/2015,KAA Gent,1:1,Olympique Lyon,2,0,4
09/03/2005,Juventus,2:0,Real Madrid,2,0,4
09/04/2003,Inter,1:0,Valencia CF,2,0,4
12/09/2000,Galatasaray,3:2,AS Monaco,2,0,4
23/10/1974,Ãjpesti DÃ³zsa SC,1:2,Leeds United,2,0,4
25/11/2003,AS Monaco,1:1,PSV Eindhoven,1,2,3
06/12/1999,Feyenoord,3:0,Olympique Marseille,1,2,3
18/10/2011,OÅ£elul GalaÅ£i,0:2,Manchester United,1,1,5
05/11/2003,Olympiakos PirÃ¤us,3:0,Galatasaray,1,1,5
25/10/2000,AS Monaco,4:2,Galatasaray,1,1,5
11/12/2019,Shakhtar Donetsk,0:3,Atalanta,1,0,7
06/11/2019,Atalanta,1:1,Manchester City,1,0,7
11/03/2015,Chelsea FC,2:2,Paris Saint-Germain,1,0,7
11/12/2013,FC Schalke 04,2:0,FC Basel,1,0,7
26/11/2013,AFC Ajax,2:1,FC Barcelona,1,0,7
21/11/2012,Zenit St. Petersburg,2:2,MÃ¡laga CF,1,0,7
03/10/2012,FC Schalke 04,2:2,Montpellier HSC,1,0,7
